Date,Title,Keywords,Abstract
2012,我国绿色环保油墨标准现状及思考--《标准科学》,绿色环保油墨 绿色环保油墨标准,"本文介绍了国内外绿色环保油墨标准的现状,分析了我国绿色环保油墨标准存在的问题,提出了建议。"
2011,环保油墨标准现状及发展展望--《印刷质量与标准化》,凹印油墨 发展展望 环保化 标准现状 环保标准 发达国家 有毒有害物质 标准化 胶印油墨 国际竞争力,"近年来由于油墨中残留有害物质的迁移导致食品被污染而引发的中毒事件频频发生,如甘肃定西薯片包装袋苯超标事件、兰州毒奶粉袋事件、多地区烧饼包装袋油墨污染事件等,更加引起了人们对环保油墨的关注。而环保油墨标准是环保油墨发展的重要基石,是促进环保油墨发展的重要手段。发达国家利用其先进的技术,制定了一系列的环"
2010,基于生命周期环境影响分析的环保油墨研发--《包装工程》,环保油墨 油墨环境影响 挥发性有机化合物,"基于印刷油墨生命周期环境影响分析,指出环保油墨的研发关键,即控制挥发性有机化合物排放量、芳香烃溶剂挥发量和重金属含量。对国内外印刷油墨的环保标准进行了对比,进而提出我国环保油墨技术标准需要完善之处。在此基础上,对环保油墨的技术研发进行了展望,阐明了环保油墨目前研究热点问题及未来的研发走向。"
2013,2014年全球环保油墨市场规模将达7亿美元--《印刷技术》,全球环保 油墨市场 市场规模 可持续发展 调查报告 环保法规 市场预测 产业转型 建立健全 印刷业,"近日,Smithers Pira公司发布了其关于全球环保油墨市场的最新调查报告《环保油墨的未来——2014年市场预测》。报告显示,印刷业正在努力向可持续发展产业转型,环保油墨市场潜力非常可观。预计到2014年,全球环保油墨市场规模有望达到72亿美元,年均复合增长率将达到4.5%。Smithers Pira公司认为,随着环保法规的建立健全,市场对环保油墨的需求将日益增长。"
2012,环保油墨的现状及发展前景--《今日印刷》,凹印油墨 环保型 制造企业 环保标准 可持续发展 环境标志产品 现状 环境保护 循环再利用 食品包装印刷,"目前,伴随着全球环保趋势的快速发展,各国油墨制造业面临着如何开发和制造无毒、无污染绿色产品的压力和可持续发展的严峻挑战。环境保护问题已经受到全球印刷业的关注,而油墨产品与环境保护紧密相关,已成为人们关注的焦点,本文主要从以下3个方面进行阐述。"
2017,825/P高级无卤不烧面多环芳烃管控塑胶环保油墨--《丝网印刷》,环保油墨 多环芳烃 无卤 回弹力 遮盖力 塑料制品 移印 洋紫荆 进出口产品 颜料,"洋紫荆油墨推出的825/P高级无卤不烧面多环芳烃管控塑胶环保油墨,适合聚苯乙烯(PS)和丙烯晴(ABS)等塑料制品的网印、移印。具有亮光,不烧面的优点(即使印SAM材料,也不会出现爆裂现象);颜色鲜艳,遮盖力强,颜料的耐晒性能突出;环保方面符合卤素和PAHS第二类要求;能耐受模塑成型、深度冲压,印件可作长时间陈列;所采用的树脂具有韧性、回弹力和耐磨损等特点。对于一般的化妆品,除了含有酒精或精油类外,该系列油墨均具有耐抗性。在欧盟对所有进出口产品均"
2016,可褪色环保油墨的制备工艺--《包装工程》,环保油墨 染料 色差 可褪色,"目的制备环保油墨并研究该环保油墨在不同承印材料上的褪色效果。方法以蒸馏水为溶剂,超细指示剂染料为呈色物质,自制乳液为连接料,加入多种助剂制得环保油墨,研究该环保油墨在不同承印材料上的褪色效果。结果该环保油墨在不同的承印材料上采用丝网印刷工艺进行印刷,墨迹一段时间后能完全褪色。结论使用该环保油墨印刷有利于承印物的重复使用。"
2015,发展绿色包装  食品包装印刷环保油墨先行--《印刷技术》,绿色包装;环保油墨;食品包装;印刷油墨;全球经济环境;回收再生;行业发展现状;人体健康;生态环境;检测机构;,"通常,绿色包装是指对人体健康无害、对生态环境无污染、能回收再生并可降解、可促进持续发展的包装。当今食品行业采用绿色包装技术,既可为解决食品污染提供切实可行的途径,又可促进国民经济的发展。因此,食品绿色包装日益被国内外印刷和油墨行业所关注。我国油墨行业发展现状绿色包装,食品包装印刷环保油墨先行,这是至关重要的。受全球经济环境的影响,前两年一些印刷企业遇到了低谷,给印刷油墨行"
2005,环保油墨将主导亚太油墨市场--《广东印刷》,亚太地区 油墨市场 环保法规 发展方向 生产能力 印刷行业 溶剂型 油墨制造 水性油墨 环保问题,"世界各国环保法规越来越严格,亚太地区也是如此,作为印刷行业使用的油墨,环保油墨将是关注的重要领域,是未来的发展方向。亚太地区油墨行业已经出现了从传统溶剂型油墨向诸如水性柔版油墨、大豆油油墨、UV油墨等环保油墨发展的趋势。环保油墨的开发和生产能力已经成为油墨制造商们未来在亚太地区致胜的关键砝码之一。"
2012,环保油墨真的完全“环保”了吗?——访中国包装联合会包装印刷委员会秘书长  陈麒祥--《中国包装工业》,印刷油墨 绿色环保 包装印刷 工业包装 联合会 水性油墨 委员会 环境保护意识 食品包装 装潢印刷,"陈麒祥,男,1948年出生,大专学历,高级经济师。现任中国包装联合会常务理事;中国包装联合会包装印刷委员会秘书长;国家轻工业包装装潢印刷制品质量监督检测上海站名誉站长。随着人们环境保护意识的提高,迫切需要""绿色""印刷耗材的呼声日益高涨。也正因此,绿色环保油墨正日益变成印刷油墨界的共识和共同行动。那么,当前的环保油墨真正完全"
2010,我国发展环保油墨任重道远--《食品安全导刊》,柔印油墨 环保化 水性油墨 胶印油墨 环境保护 有限公司 无污染 凹印油墨 印刷市场 油墨制造,"从哥本哈根世界气候大会获悉:人类正面临可持续发展的严峻挑战,环境保护问题受到全球越来越多的关注。而油墨行业因与环境保护紧密相关,也已成为人们关注的热点问题。国内外环保油墨的发展现状自20世纪50年代开始,欧美等发达国家和地区就已经提出了绿色环保理念。如今,这一理念正以强大的影响力引导着全球油墨行业朝着""无毒、无污染""的方向发展。2000年开始,欧美和日本等"
2010,2014年全球环保油墨市场规模将达72亿美元--《印刷技术》,市场规模 全球环保 油墨 可持续发展 调查报告 市场预测 产业转型 印刷业 美元 增长率,"近日,Pira公司发布最新调查报告《环保油墨的未来——2014年市场预测》。报告显示,印刷业正在努力向可持续发展产业转型,"
2018,紧抓环保柔印及绿色材料潮流  提高企业经济效益--《标签技术》,国际印刷展;标签印刷;,"第二十六届华南国际印刷工业展览会及中国国际标签印刷技术展览会(以下简称""华南国际印刷展和中国国际标签展"")将于2019年3月4～6日在广州中国进出口商品交易会展馆A区举办,特设绿色环保柔印、标签绿色柔印、绿色标签材料等专区,汇聚行业精英,展示一连串轻量化、利于回收的材料及使用环保油墨、支持柔版及可变数据印刷、高性价比的设备,不但有助于实现绿色印刷,还能提高印企经济效益。展商带来柔印方案、绿色材"
