2014,单体对UV-LED喷墨油墨性能影响的研究--《包装工程》,单体 UV-LED喷墨油墨 性能 配方实验,"目的研究单体对UV-LED喷墨油墨性能的影响并改善油墨性能。方法选用不同单体分别制备油墨样品,测试色浆的分散性及油墨的黏度、表面张力、双键转换率、柔韧性和附着力,并采用配方实验方法设计复合单体配方,得到油墨综合性能最佳时混合单体的比例。结果色浆配方中复合单体最优质量比为mNPGDA∶mTMPTA=0.54∶0.46时,色浆分散性最优;油墨配方中复合单体的最优质量比为mTPGDA∶mTMPTA=0.61∶0.39时,油墨综合性能最优。结论单体对UV-LED喷墨油墨的分散性及固化速度有显著影响,对油墨固化后成膜性能影响也较大。"
2018,UV-LED磁性油墨固化时间影响因素研究--《包装工程》,UV-LED磁性防伪油墨 连接料 光引发剂 固化时间,"目的应用UV-LED固化技术来降低磁性防伪油墨的固化时间。方法选用环氧丙烯酸酯和二丙二醇二丙烯酸酯,通过改变两者的质量比来配制连接料,选用TPO和819为光引发剂,改变光引发剂的质量分数,固定其他组分,配制UV-LED磁性防伪油墨,打样并使用波长为395 nm的UV-LED光源照射,测定油墨的固化时间。结果数据结果表明,当连接料中环氧丙烯酸酯和二丙二醇二丙烯酸酯的质量比为1∶0.8,光引发剂选用819(质量分数为6%)时,磁性防伪油墨固化时间最快可达0.6 s,双键转化率最高可达96%。结论 UV-LED磁性防伪油墨固化时间的主要影响因素有预聚物与单体的质量比,光引发剂的种类与质量分数。在合理的粘度范围内,预聚物与单体的质量比值越大,固化时间越短;单一光引发剂所释放的自由基越多,固化速率越高,光引发剂质量分数越高,固化时间越短。"
2018,UV-LED固化技术在印铁行业中的应用及前景--《中国包装》,UV-LED 油墨 UV固化 设备 金属包装 印铁行业,"本文比较了UV-LED固化技术与UV固化技术的区别及利弊,比较了UV-LED油墨与UV油墨配套的固化设备性能的优劣,探讨了UV-LED技术在国内推广的基础条件及发展前景。"
2018,UV-LED喷墨油墨用单体和光引发剂性能的评估--《包装工程》,UV-LED固化 单体 光引发剂 喷墨油墨 适应性评估,"目的为了建立评估方法,优选出适用于UV-LED固化喷墨油墨的光引发剂和低粘度单体种类。方法用紫外-可见光分光光度计表征TPO, ITX, DETX, 819, 784, TPO-L等常见的6种光引发剂的紫外-可见吸收光谱。采用TPO为引发剂,分别用HDDA, ACMO, DPGDA, EOEOEA, DMAA等5种常用的低粘度单体,配制UV-LED喷墨油墨用连接料和油墨,用红外光谱和可见光透过光谱表征连接料的固化速度和固化膜的颜色,并通过指压法判定表干程度。结果 DMAA,EOEOEA组成的喷墨油墨连接料成膜性不好;含有ACMO连接料的透明度较好。结论满足食品、药品包装安全要求,可以用于UV-LED固化的光引发剂为TPO,TPO-L及819;以粘度和固化程度为标准,用于制作喷墨油墨的5种单体的适用性从高到低排序为DPGDA, HDDA, ACMO, EOEOEA, DMAA。建立的评估方法合理有效。"
2013,UV-LED油墨光引发剂和光源的研究--《北京印刷学院学报》,UV-LED油墨 UV-LED光源 光引发剂 固化速率,"UV-LED油墨因节能、环保、高效等优势备受关注。为提高UV-LED油墨的固化速率,选用不同光引发剂分别制备油墨,在不同波长及辐射能量的UV-LED光源下固化,研究了光引发剂和光源对油墨固化速率的影响。改变光引发剂质量分数制备油墨,测试油墨的固化速率,从而确定能使油墨获得较高固化速率的光引发剂质量分数。研究结果表明,光引发剂的种类、质量分数和光源的性能参数对UV-LED油墨的固化速率都有很大影响,所研制的油墨在颜料的透光窗口、光引发剂的光谱吸收峰、光源的光谱辐射峰三者相互匹配时有较高的固化速率。"
2018,单体对黑色UV-LED喷墨油墨分散性的影响--《北京印刷学院学报》,单体 UV-LED喷墨油墨 分散性,"为了得到分散性能优良的黑色UV-LED喷墨油墨,通过选用不同单体以及混合单体分别研磨制备色浆取样并测试其色浆的粒径大小,探讨单体对油墨分散性的影响。研究结果表明,对于碳黑颜料,不同的单体制备出的色浆分散性有差异,单独采用单体HDDA或EOEOEA配制的黑色UV-LED喷墨油墨粒径小,即得到的油墨分散性较好;采用混合单体HDDA:EOEOEA=1:1时制备的黑色UV-LED喷墨油墨色浆分散性更好。"
2014,单体对UV-LED喷墨油墨印刷质量的影响--《中国印刷与包装研究》,喷墨油墨 UV-LED 单体 线条印刷质量,"UV-LED喷墨油墨因节能、环保、高效等优点而备受关注。本实验主要选取了7种具有代表性的丙烯酸酯单体,分别制备了喷墨油墨样品,测试油墨的表面张力、分散性、黏度等性能参数,用来考察不同单体对UV-LED喷墨油墨性能的影响。使用喷墨印刷机进行喷墨印刷并采用UV-LED光源固化,测试样张中线条的线宽、密度、模糊度、粗糙度和对比度等印刷质量参数,分析单体的结构对制备油墨的印刷质量的影响。结果表明,不同结构的单体制备的油墨性能存在差异,单体种类对线条印刷质量也有显著影响。"
2015,UV-LED技术在号码油墨中的应用--《标签技术》,UV-LED技术;卤素灯;高压汞灯;快速固化;喷粉;凸印;周期长;光引发剂;光油;照射距离;,"在标签和票证上,一连串的号码起着标识、防伪、装饰等作用。传统的凸印号码油墨是采用氧化方式干燥,存在着干燥周期长、容易蹭脏等缺点。自从1969年美国首次将UV油墨用于卡纸印刷,且UV油墨因有着快速固化、无溶剂、免喷粉等优点得到了长足的发展。然而,传统的UV光源普遍为高压汞灯和金属卤素灯等光源,会产生能耗高、发热大以及臭氧等问题,对UV号码油墨的发展造成了一些不利影响。随着科技的发展,近些年来涌"
2015,UV-LED固化技术发展趋势--《电子元件与材料》,UV-LED固化 光源设备 高活性材料体系 新功能纳米粒子 D打印制造 UV固化,"综述了UV-LED光固化技术相关光源设备和光固化材料现状,指出光强在三维可控、发射波长与光引发剂配套、大功率、结构更简单是光源设备的发展方向;开发新的引发剂、单体、预聚物组成高活性、高能效UV-LED固化材料体系,并与新的光、声、电、磁功能纳米新材料以及3D打印制造有机结合是UV-LED固化材料的发展方向。"
2013,UV-LED绿色技术吹起高效节能之风--《印刷技术》,固化 光源系统 有限公司 水循环 印刷机 产业化发展 臭氧产生 综合指标 大功率 发光,"江苏广发光电科技有限公司(以下简称""广发光电"")是一家专业从事新型环保光源的应用研发和产业化发展的企业。其研发生产的大功率LED紫外(UV-LED)固化光源系统的综合指标已达到国际先进水平,在同等固化效率下,可比传统UV固化光源节能80%以上,且工作中无臭氧产生,在UV固化领域起到了革命性的作用。"
2018,柔印UV-LED油墨的配制--《西安理工大学》,UV-LED固化光源 柔印油墨 正交试验 固化速度,随着社会和经济的发展环保型油墨和绿色印刷方式成为发展趋势UVLED光固化采用光电转换原理具有发热量小效率高节能环保且光源寿命长等优势成为新型的固化方式柔印采用的是凸版轮转印刷方式结构简单操作方便并以其独特的印刷方式广泛应用于印刷包装中柔印UVLED油墨结合柔印和UVLED光固化的特点固化速度高对环境和人体无害成为新型的绿色油墨被人们广泛关注和研究本课题旨在制备一种粘度小固化速度高的柔印UVLED油墨主要工作如下1选择聚氨酯丙烯酸酯和超支化聚酯丙烯酸酯为预聚物并改变预聚物含量为20304050分别制备油墨测其色强度和粘度结果表明当超支化聚酯丙烯酸酯含量为30时油墨性能较好2采用TPO819ITX907四种光引发剂及固化速度较快的三种进行复配分别制备油墨用395nmUVLED固化光源进行照射测其固化时间结果表明采用光引发剂819制备的油墨固化时间最短且固化效果好墨层表面无泛黄现象3采用单因素法对品红颜料的用量进行优选固定油墨其他组分不变改变颜料含量为34567采用同样的方法改变光引发剂819含量为456778对光引发剂的用量进行优选结果表明当颜料含量为5光引发剂含量为6时固化时间最短4设计正交试验合成九组柔印UVLED油墨测其粘度固化时间色强度分析得到柔印UVLED油墨的最佳配方如下颜料品红5预聚物超支化聚酯丙烯酸酯40单体己二醇二丙烯酸酯45光引发剂8197助剂分散剂流平剂3其中分散剂与流平剂的比例为11配制得到的油墨粘度为893mpas色强度为148固化时间为05s印刷适性较好
2014,UV-LED喷墨油墨的研究--《南京林业大学》,UV-LED喷墨油墨 配方设计 油墨性能 印刷质量,随著环境保护呼声日益高涨油墨的环保化是一个重要的发展趋势近年来UV油墨以其环保高效高质量适应性广等优势成为目前受到最多关注的新型油墨拥有巨大的发展前景但由于常规UV光源为高压汞灯存在寿命短耗电量大承印材料受热变形及重金属污染等缺陷而UVLED光源是利用光电转换原理该固化方式更为节能环保且光源寿命长辐射热量低成为油墨的新宠本课题旨在通过改变UVLED喷墨油墨组分和配方以达到更好的油墨固化速度和印刷质量的提高本论文在前期UV喷墨油墨研究制备的基础上通过不同颜料光引发剂的组合制备油墨并用不同波长及辐射能量的UVLED光源测试油墨的固化速度研究油墨颜料透光窗口光引发剂吸收光谱和光源辐射光谱的匹配性对UVLED喷墨油墨固化速度的影响改变光引发剂预聚物单体种类分别制备油墨研究各组分对油墨分散性黏度表面张力和固化速度等性能的影响并通过配方实验设计油墨配方通过改变单体种类制备色浆及油墨研究单体对色浆分散性及UVLED喷墨油墨印刷质量的影响研究结果表明预聚物单体的结构光引发剂对光的吸收性及其含量光源的结构与性能参数对UVLED固化油墨的固化速度都有很大影响所研制的油墨在相匹配的光源下有较高的固化速度预聚物和单体对油墨的各项性能均有不同程度的影响根据实验配方制备的油墨综合性能优异单体对色浆的分散性以及UVLED喷墨油墨的印刷质量也有较大影响
2018,UV-LED磁性防伪油墨研究--《西安理工大学》,UV-LED Fe_3O_4纳米颗粒 羧基化改性 磁性防伪油墨,目前市场上的假冒伪劣产品给人们的健康带来巨大危害防伪技术与防伪材料的开发受到政府和研究人员的重视在众多防伪材料中UVLED磁性防伪油墨具有VOC排放低干燥速率快颜色深检测方便防伪效果优异等优点在绿色印刷领域有巨大的开发和应用前景本文先制备磁性Fe_3O_4纳米颗粒再使用油酸对其进行包覆最后采用KMnO_4H氧化的方法制得分散性能优异的磁性Fe_3O_4纳米颗粒最后以羧基化Fe_3O_4纳米颗粒为磁性颜料制备UVLED磁性防伪油墨本论文主要内容包括以下几点首先采用共沉淀法以FeSO_47H_2O与FeCl_36H_2O为原料制备平均粒径约为35nm的Fe_3O_4磁性纳米颗粒通过调节反应物浓度及反应温度成功制备出粒径均匀性好形貌均为球形且无团聚的Fe_3O_4纳米颗粒利用X射线衍射仪扫描电子显微镜振动样品磁强计等表征手段对合成的样品进行表征数据表明样品中无杂质纯度高形貌均为球形且无明显的团聚现象饱和磁化强度约为854emug剩余磁化强度约为92emug表现出良好的软磁性材料特性其次使用油酸对磁性Fe_3O_4纳米颗粒进行包覆再使用KMnO_4H给纳米Fe_3O_4颗粒表面接羧基制备出粒径约为50nm磁性能稳定在有机溶剂中具有优异分散性的羧基化磁性Fe_3O_4纳米颗粒通过沉降距离表征改性后磁性Fe_3O_4纳米颗粒的有机分散性能实验结果表明羧基化改性的磁性Fe_3O_4纳米颗粒的分散稳定性显著提高最后以自制的羧基化Fe_3O_4纳米颗粒为磁性颜料246三甲基苯甲酰基二苯氧化膦光引发剂819环氧丙烯酸酯与二丙二醇二丙烯酸酯DPGDA混合物为连接料制备UVLED磁性防伪油墨通过大量实验及性能测试研究了磁性颜料光引发剂和连结料各组分的含量对油墨粘度磁响应固化速率和耐磨擦性的影响根据实验数据优化配方后得到UVLED磁性防伪油墨的最终配方磁性颜料含量404511号连接料含量4550光引发剂819含量67助剂含量34该油墨磁响应强干燥速度快防伪效果好VOC排放低对环境友好
2009,用于油墨固化的紫外LED光源封装技术研究--《华中科技大学》,大功率紫外发光二极管 封装 多芯片阵列 油墨固化 热管理 光学建模 热学建模,随着紫外发光二极管UVLED芯片技术及其封装技术的快速发展由于紫外LED相比传统光源具有发光效率高寿命长节能环保反应速度快等特点使其在固化等行业具有巨大的市场前景各个国家地区都争相投资研发紫外LED光源这也将进一步推动相关的光电子材料能源半导体芯片制作以及封装等行业的发展影响LED出光效率主要有芯片本身和后期的封装结构目前紫外LED的发光功率普遍较低除了芯片制作水平的需要提高之外封装技术对LED的发光效率特性也有重要的影响本文主要工作是围绕紫外LED的封装工艺提出了点光源和可用于油墨固化的大功率芯片封装结构并对整个封装工艺进行研究具体包括以下内容首先介绍了目前大功率紫外LED在国内外的发展状况分析了紫外LED的市场应用前景及它应用于固化等行业的优点及可行性并引出当前LED封装所存在亟需解决的问题接着分析了热量产生原理和LED的封装热阻计算方法并比较分析了大功率LED封装材料如基板封装胶透镜和导热界面材料的选型增强器件的散热能力提高器件的可靠性再次提出了单颗LED和可用于油墨固化的大功率LED的结构设计方案结合计算机进行光学和热学建模仿真寻求用于紫外LED封装的最优LED间距以及有利于散热的最佳导热界面材料热导率和其厚度对结温的影响最后研究了紫外LED的封装工艺过程制备出点光源和大功率面光源模块并介绍了发光散热方面相关性能测试指标初步开展了VI曲线波长半带宽等指标的测试实验由于封装很大程度决定了LED发光器件的性能本课题的研究为紫外LED芯片封装具有重要的实用价值
2017,用于固化的高光密度紫外LED大功率光源的设计--《中国照明电器》,紫外LED LightTools 光固化,"针对高速柔印机对紫外LED光源的需求,设计大功率、高光密度、窄光斑的紫外固化固体光源。采用385 nm的正装垂直结构紫外LED芯片,进行芯片阵列排布,封装制作出9串1并和9串6并的两种尺寸COB样品,利用近场光学测试了小尺寸样品9串1并,获得了光源数据。利用LightTools软件进行6倍光源阵列得到了与大尺寸9串6并样品一致的近场光学光源数据,运用LightTools光学设计软件建模优化,获得了一款3 D透镜结构模型,在10cm处的紫外能量密度的模拟数值为6 W/cm~2。按3D结构模型开模制作出一款硅胶透镜,在10 cm处的紫外能量密度的实测值为6.08 W/cm~2。"
2017,用于固化的高光密度紫外LED大功率光源设计--《灯与照明》,紫外LED LightTools 光固化,"针对高速柔印机对紫外LED光源的需求,设计大功率、高光密度、窄光斑的紫外固化固体光源。采用385 nm的正装垂直结构紫外LED芯片,设计并制作电路板,封装制作出1并9串和6并9串2种尺寸的COB样品,利用1并9串样品进行了近场光学测试。根据近场测试所得光源参数,进行6倍阵列获得与6并9串COB样品大小相同的光源近场光学参数,在光学设计软件Light Tools上建模优化,得到一款3D透镜结构模型,在10 cm处的紫外能量密度模拟数值为6 W/cm2。按3D结构模型制作一款硅胶透镜,在10 cm处的紫外能量密度实测值为6.08 W/cm~2。"
2017,UV-LED印刷固化设备光源驱动的电路设计--《北京印刷学院学报》,UV-LED 固化 驱动电路,"UV-LED固化已经越来越被市场所采纳,成了资本市场的新宠儿,该项技术也已成为国内外印刷领域的研究热点。UV-LED印刷固化技术具有节能、环保、绿色的特点。和传统的UV固化方式相比,能够减少80%-90%的耗电量,不产生臭氧,没有VOC(易挥发的有机物质)排放。其中,光源驱动的电路设计是UV-LED固化设备的关键技术之一。UV-LED光源驱动的电路需要有很高的稳定性,以提高固化设备的工作可靠性和使用寿命。单颗UV-LED芯片功率只有几瓦,不能满足固化功率要求,因此可采用多颗芯片阵列组成UV-LED集成光源系统。本文介绍的光源系统是由72颗LED芯片采用阵列排布方式构成的,重点介绍通过整流滤波、填谷电路直接驱动LED芯片的电路。该驱动电路不仅可满足LED光源系统固化功率的要求,还可根据固化系统的实际需求对芯片功率进行补偿及提升,使固化设备的工作可靠性和使用寿命得到提高。"
