2017,LED-UV油墨--《丝网印刷》,印刷领域;耐溶剂性;墨膜;摩擦性;光泽度;热收缩膜;板基;水转印;,"中山中益油墨涂料有限公司早在2014年就开始专注LED-UV油墨的研发,目前已成功研发几款满足市场的LED-UV油墨,并得到多个印刷领域的认可。特点如下:1.固化能量低,产生热量小,固化后可堆积,进入后加工,无背面粘脏问题;2.不使用溶剂,固化时不排放、不释放挥发性有机化合物,有利于环保;3.固化后墨膜层光泽度高,且具有很好的耐热性、耐溶剂性、耐摩擦性等;4.墨膜100%固化,硬度高,适用于对墨"
2015,《紫外光固化(UV)油墨用阳图热敏计算机直接制版(CTP)版材》行业标准将于2016年1月1日施行--《印刷技术》,紫外光固化;计算机直接制版;CTP;UV;版材;阳图;行业标准;检验规则;直接制版机;工业和信息化部;,"7月29日,工业和信息化部批准发布543项行业标准,其中包括HG/T 4865-2015《紫外光固化(UV)油墨用阳图热敏计算机直接制版(CTP)版材》。该标准规定了紫外光固化(UV)油墨用阳图热敏CTP版材的要求、试验方法、检验规则、包装及标志、储存和运输,适用于以铝板基为支持体涂布热敏感光层而制成的耐UV油墨阳图热敏CTP版材,该版材用于波长为830nm激光光源的计算机直接制版机的制版。该标准将于2016年1月1日起施行。"
2013,专业油墨，尽在爱克发——唯一UV油墨及全线工业喷墨没备生产商--《中国报业》,油墨 安全标准 环保标准 保存期 创新 同类 研发 玩具 经验 生产商,"·爱克发超过140年经验创新,1992年开始油墨研发;·通过全球ISO环保标准ISO 9001:2000及ISO 14001:2004:·通过全球玩具安全标准(EN 71-3:及ASTM F963-96a)·气味接近零,为同类UV油墨中最轻;保存期达18个月,为同类UV由墨中最长;"
2009,EFI为超大幅面打印机提供新一代UV油墨--《广东印刷》,超大幅面 打印机 油墨 承印物 分阶段 副总裁 总经理 客户开发 升级 公司,"EFI公司于近日为自己的超大幅面打印机QS2000和QS3200推出了新一代UV油墨。已经拥有了QS2000或QS3200打印机的客户可以分阶段对自己的系统进行升级。EFI公司油墨部的副总裁兼总经理Scott Schinlever说:""与原有的QSUV油墨相比,新一代油墨能在各种承印物"
2016,2020年UV固化油墨市场有望达35亿美元--《印刷质量与标准化》,标签印刷;饮料行业;市场研究机构;包装食品;亚太市场;固化速度;消费行业;出版领域;法规限制;快速固化;,"据Allied Ma rket Research(美国联合市场研究机构)推出的题为""全球UV固化油墨——2014—2020年市场机会及预测""的报告预计,全球UV固化油墨市场将于2020年达到35亿美元,2015—2020年间的复合年均增长率超过15.7%。由于包装食品及饮料行业的增长带动了标签印刷需求的上升,成为UV油墨的主要增长领域。新型的UVLED油墨技术将在多个方面逐步替代UV油墨。鉴于药品和消费品标签应用需求的增长,亚太市场有望见证UV标签油墨技术的快速增长。"
2018,乐凯华光印刷科技有限公司  耐UV油墨热敏阳图CTP版材--《创新科技》,印刷科技;CTP;UV;,"企业简介乐凯华光印刷科技有限公司(简称""乐凯华光"")隶属于中国航天科技集团有限公司旗下的中国乐凯集团有限公司,是同时具有胶印版材、印刷胶片、柔性树脂版等产品生产能力、全方位为印刷业服务的国有大型企业,为我国印刷工业告别""铅与火"",进入""光与电""和数字化时代,并向数字化和绿色环保并重发展方面做出了突出贡献。主要产品""十二五""以来,实现印刷技术的绿色环保成为行业发展的必然要求。由于UV"
1998,杜比生产的UV油墨--《丝网印刷》,UV油墨 丝网印刷油墨 高光泽 聚乙烯 杜比 质量认证 质量和可靠性 专业生产厂家 组合印刷 光盘印刷,杜比生产的ＵＶ油墨ＤＵＢＵＩＴＥＮＣＲＥＳ建立于１９７０年。由于致力于开发ＵＶ油墨，因而发展很快。作为ＤＵＢＵＩＴ集团的一部分，它是生产瓶子和ＣＤ光盘印刷设备的私人公司，现已成为丝网印刷油墨专业生产厂家，并且已逐渐扩展到许多新的丝网印刷领域，成为工业...
2013,伊藤油墨推出UV耐水丝印玻璃油墨--《新型建筑材料》,,"UV油墨非常适合于玻璃产品的印刷,但其耐水性不佳,一直困扰着国内外油墨研发者,也阻碍了UV油墨在玻璃上的推广应用。针对这一情况,伊藤油墨涂料化工技研株式会社总结多年UV油墨研发经验和教训,突破传统思路,最新开发出一款耐水煮UV丝印玻璃油墨N-GL9000,其特点如下:(1)极佳的耐水性。UV固化好的玻璃产品,能经得起自来水浸泡30 d以上,再用开水浸泡24 h,固化膜硬度和附着力不受影响。(2)UV快速固化,无需后加热处理。新型UV玻璃油墨印刷后,直接UV固化,不需要后加热处理,就能赋予墨层极佳的耐水性能。"
2002,美国丽色达公司在中国推广水性UV油墨--《包装世界》,中国市场 生产基地 经销商 普通型 公司 油墨制造 丝网印刷 水性 市场推广 合成纸," 美国丽色达公司最近加大了水性UV油墨在中国市场的推广力度。美国丽色达公司是北美最大的丝网印刷油墨制造商,在北美,丽色达有5家生产基地,在全球有50多家经销商。丽色达公司在中国市场主要推广其普通型的"
2013,低温酒瓶水转印花纸UV油墨印刷工艺--《丝网印刷》,,"酒瓶贴花用途的低温水转印花纸是近年来为适印低能耗、环保及美观的要求而开发的水转印花纸产品。通常这类花纸都是由溶剂挥发型油墨进行印刷,因此印刷环境较为恶劣,生产效率也较低。为改变这种状况,目前国内已有油墨生产厂家着手研发环保和印刷效率更高的UV固化型油墨。本文就杭州恒基油墨涂料有限公司研发和生产的酒瓶用花纸印刷的UV系列油墨作一简单的介绍。"
2013,伊藤推出新型UV耐水玻璃油墨--《丝网印刷》,,"近日,伊藤油墨涂料化工技研株式会社总结多年UV油墨研发经验开发出一款耐水煮UV玻璃油墨N-GL9000。这种新型UV油墨有以下几个特点:一是极佳的耐水性。经过UV油墨固化好的玻璃产品,能经得起自来水浸泡30天以上,并且固化膜硬度和附着力均不受影响。二是这种UV油墨固化快,无需加热处"
2012,走进标签印刷油墨的炫彩世界--《标签技术》,印刷油墨 标签印刷 油墨市场 市场需求 水性油墨 色彩 世界 生活中 载体 特性,"生活中不能缺少色彩。标签印刷油墨作为一种非常重要的色彩载体,在标签材料上勾勒出美仑美奂的图文效果,赋予了标签多姿多彩的特性。可以说,标签印刷油墨的应用让标签和商品更加炫丽,让我们的生活变得更加美好。根据市场需求,当前我国标签印刷油墨市场处于UV油墨为主,其他种类油墨为辅的格局。本期专题我们将共同走进标签印刷油墨"
2018,海中辉  为行业树立新标杆--《印刷技术》,LED;展位号;UV;固化系统;固化速度;,"深圳市海中辉油墨制品有限公司成立于1998年,专业生产UV油墨,是集研发、生产、销售为一体的国家级高新技术企业。公司座落于美丽的石岩湖边,年产值5亿元以上,是集工作、生活、学习、休闲为一体的花园式工业园。公司拥有科学的技术配方、先进的工艺设备、严谨的现场管理、绿色的工作环境。海中辉为您提供性能更优异、品质更稳定的UV油墨。海中辉为国内外客户提供颜色定制、特殊效果产品调制、附着力"
2010,如何提高UV油墨在PET材料上的附着力--《丝网印刷》,附着力 油墨 材料表面 网版印刷 环保要求 表面特性 表面张力 油性 问题 电火花,"众所周知,UV油墨在PET材料上的附着力一直较低,所以在PET材料上用油性油墨印刷的比较多,但是随着环保要求的越来越高,UV油墨因其环保等特性而使用逐渐广泛起来。所以如何提高UV油墨在PET材料上的附着力问题变得尤"
2016,如何提高UV油墨对底材的附着力--《中国包装》,空气喷嘴;电晕处理;正负极;接地面;打印机打印;吸收性;光油;涂剂;墨层厚度;底涂;,"在使用UV平板打印机打印一些材料时,因为UV油墨瞬时干燥的原因,有时会导致UV油墨对底材附着力低的问题。此篇文章就是研究如何提升UV油墨对底材的附着力可。电晕处理笔者发现,电晕处理是一种能有效提高UV油墨附着力的方法。电晕装置的正负极分别接地面和诱电空气喷嘴,利用高电压高周波使电击分子从诱电空气喷嘴喷出,带着高能量的游离电子加速冲向正极,这样便可以改变非吸收性材料的极性并增加表面粗,增强与油墨结合的"
2003,光固化油墨--《丝网印刷》,紫外线 固化 油墨,"光固化油墨有许多优点,因此受到薄膜开关、广告、灯箱、光盘、包装印刷等领域的青睐。介绍了光固化油墨的成分、特点、工艺参数及应用范围。同时对操作中的一些关键问题进行了详细论述。"
