2017,环保水性油墨制备技术与应用现状分析--《科学技术与工程》,水性油墨 连接料 制备 改性 水性柔印 水性凹印,"研究国内外水性油墨最新制备技术,并重点分析水性油墨在我国的应用现状。通过大量查阅国内外文献资料,归纳整理水性油墨连接料制备技术与改性研究进展,分析水性油墨应用现状,预测未来发展方向和趋势。水性油墨的研究焦点集中在制备性能优良的新型水性连结料树脂,即水性聚丙烯酸酯,水性聚氨酯,以及纳米改性连接料的制备和改性研究。水性油墨在柔印中所占的比例与日俱增,但在凹版塑料薄膜印刷中尚处于起步阶段。国内外关于水性油墨的研发取得了巨大进展,应积极鼓励水性油墨的承印基材从单一的瓦楞纸、纸张向多种非吸收材料发展;印刷方式从水性柔印向水性凹印方向逐渐推广。"
2011,水性油墨研究进展--《中国印刷与包装研究》,水性油墨 水性连结料 助剂,"水性油墨因其优良的环保性,受到越来越多的关注,成为现今油墨行业发展的方向和趋势。本文系统介绍了水性油墨的组成和质量控制指标,指出了影响水性油墨印刷质量的关键因素,综述了水性油墨研究发展历程,简要分析了我国水性油墨研究现状和技术方向,展望了水性油墨的发展趋势。"
2009,超细水性油墨的研制--《包装工程》,水溶性分散剂 水性油墨 超细色浆,"以苯乙烯和丙烯酸为聚合单体,甲苯为溶剂,采用溶液聚合法合成了水溶性颜料分散剂。以水溶性分散剂、颜料及助剂制备了超细颜料色浆,以自制乳液为连接料,加入超细颜料色浆,经分散、研磨制成了超细水性油墨,对超细油墨的细度、耐水性、光泽度等性能指标进行了测试。结果表明:超细水性油墨的细度为0.5～0.8μm,耐水性为5级,光泽度为0.8,优于目前水性油墨企业标准,其它性能指标符合水性油墨企业标准。"
2018,废纸回用过程中水性油墨杂质再吸附与分离的研究进展--《中国造纸》,水性油墨 连接料 再吸附 电荷特性 空间位阻,"介绍了水性油墨的组成及性质,总结了水性油墨杂质的再吸附性能以及影响其与纤维分离的因素,分析了导致水性油墨印刷废纸再制浆后白度降低的根本原因;同时从理论上系统分析了抑制水性油墨杂质再吸附和分离的途径,并就目前开展的针对水性油墨印刷品再制浆过程中水性油墨杂质高效分离的解决方法进行了论述。"
2018,水性油墨连结料对PVC印刷耐光色牢度的影响--《工程塑料应用》,水性油墨 连接料 耐光色牢度 水性聚丙烯酸树脂 水性聚氨酯–丙烯酸树脂,"为了研究水性油墨连接料对聚氯乙烯(PVC)塑料耐光色牢度的影响,采用乳液聚合法和共混法制备了水性丙烯酸树脂乳液和水性聚氨酯–丙烯酸树脂乳液两种水溶性树脂作为水性油墨连接料,分别配制成水性油墨并印刷到PVC塑料表面。利用傅立叶变换红外光谱和扫描电子显微镜等检测手段分析了水性油墨连接料影响PVC塑料印刷耐光色牢度的原因。测试结果表明,水性聚氨酯–丙烯酸树脂乳液配制的水性油墨在耐光色牢度、附着牢度、耐水性能方面都比水性丙烯酸树脂乳液配制的水性油墨更优秀;而在细度、黏度、初干性、着色力、pH值性能方面两者相同。水性聚氨酯–丙烯酸树脂乳液配制的水性油墨的耐光色牢度用灰色样卡等级进行评价,其灰色样卡等级为4级,色差为1.7～1.9;而水性丙烯酸树脂乳液配制的水性油墨的灰色样卡等级仅为3～4级,色差为2.5～3.4。"
2017,溶胶/凝胶法改性铝粉颜料及水性凹版银色油墨的研究--《北京印刷学院》,纯水型银色凹印油墨 配方 铝粉颜料 二氧化硅改性,目前绿色环保仍是当今社会的主题纯水型环保油墨的开发是一种发展趋势它有零VOC排放无刺激性气味不易燃绿色健康的特点近几年在绿色包装印刷行业中普遍应用随着社会的发展人们的消费对商品外在包装精美程度的追求大大提升而凹版印刷因墨层厚实富于层次的特点其得到的印刷品高端精美满足人们的追求银色油墨同样以其特殊的色彩和金属光泽广泛应用于各种商品的精美包装备受人们青睐因此纯水型银色凹印油墨的研发是一种必然的趋势它是一种极具发展前景和市场潜力的新型绿色印刷耗材本文对水性银色凹印油墨的配制和优化进行了相关的研究探究了铝粉颜料种类颜基比分散剂种类和用量搅拌速度和时间对基墨分散性能的影响探究了成膜树脂种类成膜树脂复配比例对油墨粒径光泽度表面张力流平性等印刷性能的影响另外本文通过对铝粉颜料的脱脂处理和溶胶凝胶法改性实验改善了纯水性铝粉油墨的不稳定性探究了不同磷酸浓度的乙醇溶液对铝粉颜料脱脂效果的影响探究了铝硅比水硅比催化剂用量容积体积反应时间对铝粉颜料改性包覆实验的影响并通过FTIRSEMXRDXPS对反应得到的铝粉颜料进行表征分析验证了铝粉表面二氧化硅改性包覆层的存在实验表明铝粉颜料的种类分散剂的种类和用量油墨的颜基比搅拌的速度和时间对油墨分散性能的影响比较大当使用铝粉颜料PHY20分散剂JL115A用量为2按照23的颜基比在搅拌速度为300rmin的条件下搅拌分散100min配制的基墨的分散性能最好成膜树脂的种类对油墨性能有很大影响当成膜树脂813和成膜树脂S2919的比例为169时油墨的综合性能最佳002molL的磷酸的乙醇溶液是最适合铝粉颜料脱脂处理的一种溶液当铝硅比是1331水硅比是801乙二胺用量为27g容剂体积为200ml时在50条件下反应6小时可以得到改性效果好的铝粉颜料颗粒
2018,纳米TiO_2/SiO_2微粒的制备及表面改性在丙烯酸树脂中的应用--《西安理工大学》,纳米TiO_2/SiO_2 丙烯酸树脂 表面改性 抗紫外性,水性油墨成本低环境污染低水性丙烯酸树脂与其他树脂相比具有最佳的整体性能考虑到丙烯酸树脂的抗紫外性和耐水性差本文对水性油墨连接料即丙烯酸树脂为切入点加入纳米TiO_2SiO_2复合粒子最终成功制备出抗紫外线性能强耐水性好的丙烯酸树脂主要研究内容和结果如下1利用PVP和4VP作为结构引导剂共混TEOS作为SiO_2的前驱物制备出了多组纳米TiO_2SiO_2复合微粒通过SEM图分析得到2组复合微粒效果最好最佳制备工艺为PVP2g4VP2mlPVP4VP浓度为025钛硅比例12氨水用量5mlXRD图谱发现纳米SiO_2包覆前后没有改变TiO_2的晶型结构比较FTIR图和XPS图谱发现TiOSi键存在于纳米TiO_2SiO_2复合粒子中Si元素以TiOSi的形式存在于TiO_2晶体中表明TiO_2表面的SiO_2层包覆是成功的羰基与SiOH结合形成氢键引导组装TiO_2表面的OH与SiOR和SiOH基团反应生成TiOSi键2以质量分数2的KH570质量分数3的NDZ101为表面改性剂对制得的纳米TiO_2SiO_2复合微粒表面进行改性结果表明2组亲油效果最好表明纳米TiO_2SiO_2的制备效果与亲油改性效果一致SEM显示纳米TiO_2SiO_2复合微粒表面都包覆上了有机层FTIR图中在1490cm11440cm1左右出现了CH3CH2弯曲振动吸收峰在1720cm1处新出现了CO的特征峰1380cm1处新出现钛酸酯CO的吸收峰TGA曲线大约在350急剧下降失重由85左右下降到约70表明偶联剂成功改性了纳米TiO_2SiO_2复合微粒KH570和NDZ101以键合的形式接枝于纳米粒子表面3通过丙烯酸树脂的合成将改性后的纳米TiO_2SiO_2复合微粒共混加入丙烯酸树脂中制备出不同浓度纳米TiO_2SiO_2的TiO_2SiO_2丙烯酸树脂对其进行外观表征粘度测试附着力测试抗紫外表征和耐水性能测试与表征紫外吸收光谱图分析加入纳米TiO_2SiO_2后在UVB波段有很高的吸收在UVA波段也有较高的紫外线吸光度纳米TiO_2SiO_2复合颗粒的浓度从1wt增加到10wt纳米TiO_2SiO_2丙烯酸树脂完全屏蔽的紫外波长从310nm横移到了大约350nm而可见光透明性可以保持在90以上因此质量分数10的纳米复合颗粒添加量最佳
2018,大分子功能单体存在下的丙烯酸酯共聚物乳液的合成及应用--《北京化工大学》,丙烯酸乳液 大分子功能单体 水性油墨 聚合稳定性 薄膜印刷,近年来随着大气污染与环境保护受到越来越多的重视VOC排放量高的传统包装印刷行业面临着巨大的转型压力因此柔性印刷和水性油墨的地位逐渐提高作为水性油墨连接料丙烯酸树脂由于其合成简单分子量高耐候性耐油性和高光泽度等优点而受到印刷界的青睐然而对于传统的丙烯酸类树脂来说仍存在一些缺点而在常规乳液聚合中使用大分子作为乳化剂是获得具有改进的胶体性质的水基聚合物分散体的有效手段本论文使用半连续乳液聚合法以大分子功能单体作为大分子乳化剂进行了丙烯酸酯共聚物乳液的合成考察了大分子功能单体聚合单体聚合工艺对乳液聚合稳定性的影响将合成出的乳液配制成水墨并研究了乳液配方及测试条件对水性油墨的性能的影响主要工作内容如下1采用半连续乳液聚合法在8085的反应温度下以单体A单体B为软单体单体C作为硬单体加入大分子功能单体sps做引发剂DAAM和ADH作为交联体系以此为基础合成了一系列的丙烯酸酯乳液对乳液配方如常规乳化剂种类大分子功能单体的种类和用量大分子功能单体中和剂的种类和用量单体配比硬单体和功能性单体种类pH缓冲剂种类和工艺条件对乳液聚合稳定性粒径等的影响进行了研究并采用DMA和TEM对其进行了表征以此方法可合成平均粒径在100nm以下且具有良好耐水性的丙烯酸酯乳液经过调整配方合成出了综合性能较为优越的一款乳液2基于柔版印刷塑料薄膜用水性油墨所需要的性能如附着力耐划伤耐揉搓耐热稳定性耐水性干燥性能等有针对性地进行了相关实验分别考察了乳液配方或测试工艺对这些性能的影响3以半连续乳液聚合法以大分子功能单体复合丙烯酸酯合成高低玻璃化温度两种乳液并将其进行复配共混得到了一款性能更优的复合乳液在保留了附着力耐摩擦耐揉搓耐划伤复溶流平性等方面的性能优点的同时提升了抗黏连性能
2016,柔版印刷水性油墨专用聚丙烯酸酯乳液的合成及水墨的制备--《北京化工大学》,柔性版印刷 丙烯酸酯乳液 流变性能 功能性树脂 水性油墨,目前全球越来越重视环境保护和绿色安全包装印刷行业因其较高的VOCs排放量受到了严重冲击柔性版印刷因其低耗墨量且适宜采用水性油墨及优秀的印刷效果受到了包装印刷行业的青睐但现今市场上柔版印刷用水性油墨的品种较少且质量较差本论文以丙烯酸酯乳液树脂连接料及其相应的水性油墨为研究对象设计合成了系列不同结构的丙烯酸酯乳液连接料重点研究了丙烯酸酯乳液的基本结构性能及流变特性对水性油墨性能及其印刷效果的影响制备得到了在PPPE等塑料薄膜上具有优良黏附力印刷适应性好综合性能优异的水性油墨论文的主要工作如下1设计合成了系列核壳型丙烯酸酯乳液树脂研究了乳化体系单体组成分子量调节剂聚合工艺等对其性能的影响规律在此基础上以核壳型的丙烯酸酯乳液为连接料制备水性油墨研究了水性油墨的制备工艺和配方考察了水性油墨在PPPE等塑料薄膜上的印刷适应性和印刷质量研究发现以核壳型乳液为连接料制备的水性油墨具有附着力好干燥速度快的优点但是转移性差对柔性印刷机的印刷适应性不好印刷样品上存在严重的水纹现象2设计合成了系列具有非核壳结构的丙烯酸酯乳液详细研究了树脂的结构分子量调节剂玻璃化转变温度交联反应体系亲水性功能单体等因素对丙烯酸酯乳液性能的影响研究了相应的水性油墨的制备工艺和配方表征了水性油墨的粘度表面张力流变性能等考察了油墨的印刷适应性和在PPPE膜上的印刷质量研究发现适当降低乳液的玻璃化温度使用一定量的亲水单体和分子量调节剂都可以在一定程度上提高油墨对PPPE薄膜的粘结能力减轻出现水纹现象的程度合理地控制油墨的粘度以及使用一定量的流平剂和基材润湿剂也有助于减轻水纹现象的发生但是由于油墨在印刷机上的转移性较差因此其水纹现象仍很严重无法满足高档印刷产品的需求3设计合成了一种功能性树脂复合的丙烯酸酯乳液研究了功能性树脂用量中和度聚合工艺等对乳液的粒径表面张力流变性能等的影响以此乳液为连接料制备了水性油墨表征了油墨的基本性能并使用柔版印刷模拟仪IGTF1考察了油墨的印刷适应性和印刷质量研究发现当功能性树脂的使用量为35中和度为80时制备得到的乳液与其相应的水性油墨具有最佳的性能而且储存稳定性好功能性树脂的使用极大地提高了油墨的流平性和印刷转移性初步试验结果显示自制的柔印水性油墨的综合性能明显优于市面已有产品很好地解决了目前柔印水性油墨印刷产品上普遍存在的水纹现象严重的问题为后续进一步优化树脂结构和水性油墨配方进而获得满足工业化使用要求的高性能的柔印水性油墨奠定了坚实的基础
2013,用于柔性版印刷的水性油墨及其丙烯酸树脂的合成与研究--《华南理工大学》,水性油墨 丙烯酸树脂 柔性版印刷 干燥速度,水性油墨是一种在人们对低碳环保越来越关注的环境下应运而生的新型油墨具有其它油墨无可比拟的安全环保特点主要应用在柔性版和凹版印刷特别是近几年随着柔性版印刷的快速发展水性柔性版印刷油墨得到了快速的发展在一些发达国家90以上的柔性版都采用水性油墨它的前景十分广阔水性柔版油墨虽然有着十分明显的优势但是国内生产的大部分水性油墨具有干燥速度慢抗水性差光泽度低等缺点这些缺点也抑制了它的快速发展和运用这些缺点主要与所用树脂的性能和油墨的助剂相关因此本论文通过优选合成原料和油墨原料探讨了合成水性丙烯酸的工艺合成水性丙烯酸树脂的配方和水性柔版印刷油墨的配方制备出一种干燥速度快抗水性能好光泽度佳的水性柔版油墨本论文通过实验研究了合成水性丙烯酸树脂的相关工艺包括阴离子和非离子乳化剂的配比与总量引发剂的用量与滴加方式氨水中和成盐的工艺缓冲剂用量对聚合体系pH的调节得出在OP10SDS32乳化剂的总量为单体总量的5引发剂为单体总量的05时采用半连续滴加方式中和氨水的浓度为1020缓冲剂的量为05g时能获得良好的聚合效果本论文通过水性丙烯酸树脂的原料进行了筛选优化研究了不同单体的配比对树脂性能的影响得出当MMAAA为32AA占总单体的36HPA为总单体的67时合成的树脂乳液粘度为1535mPas粒径分布在100nm以下凝胶率为07膜硬度为70HD耐酸性为1级耐碱性为3级抗水性为2级玻璃化温度为2191不论从聚合反应过程乳液各方面性能和乳液成膜后膜的各种性能方面都获得理想的效果本论文研究通过大量的复配对比实验对水性柔版油墨的原料进行了筛选优化研究了不同原料的配比对油墨性能的影响得出助溶剂异丙醇的量为5分散剂为颜料和填料的3pH为85油墨中水的含量为25时能获得良好的干燥速度光泽度和抗水性制备出一种干燥速度快为22mm30s光泽度良好为87耐酸碱性和抗水性能良好为4级着色力好为97附着力强细度为10m黏度低为696mPaspH值为85性能稳定用于非吸收材料如薄膜柔性版印刷的水性油墨
