2006,数字喷墨印花技术(一)--《印染》,喷射印花 数码 纺织品,"数码喷墨印花是近20年发展起来的一种新型印花技术,具有传统印花不能实现的优点,被誉为21世纪染整工业实现革命的关键技术之一。该讲座系统地介绍了数码喷墨印花技术的起源和应用现状,深入浅出地阐述了这一新技术的基本原理及其发展趋势。"
2008,喷墨印刷述评(上)--《印刷杂志》,喷墨印刷 连续喷墨 按需喷墨 脉冲打印 发展趋势 喷墨打印机 墨滴充电 直接喷射 相变喷墨打印 换能器,"喷墨印刷是迄今为止技术门类最多、应用领域广泛和印刷材料多样性最典型的数字印刷方法。在1981年举办的第一次国际非撞击印刷会议上,数字印刷被定义为非撞击印刷技术(Non-Impact Print ing Technologies),从而纠正了以往为了与点阵(针"
2013,从SCI检索看国际绿色印刷包装研究发展态势--《北京印刷学院学报》,绿色印刷包装 印刷电子 环保油墨 按需喷墨 印后加工,"为了解国际上绿色印刷包装研究的现状与发展态势,选取科学引文索引(SCI)2008～2012年所收录的绿色印刷包装中有关印刷电子、环保油墨、按需喷墨、印后加工等4个研究方向的文献进行汇总、利用文献研究法进行综合分析,可以看出近5年来印刷电子文献高速增长,环保油墨文献量维持在相对较高的水平,而按需喷墨、印后加工的文献量明显下滑,印刷电子和环保油墨成为行业研究的热点。"
2013,近5年国内绿色印刷包装文献研究动态--《北京印刷学院学报》,绿色印刷包装 环保油墨 印刷电子 印后加工 按需喷墨,"为了解目前国内有关绿色印刷包装的研究现状,对2008-2012年国内有关环保油墨、印刷电子、印后加工、按需喷墨的文献进行汇总研究,并从文献学的角度对其进行综合分析。研究结果表明,环保油墨和印后加工的文献数量较大,但文献数量增长整体呈下滑趋势;而印刷电子、按需喷墨文献数量虽然远远低于环保油墨和印后加工,但文献数量却增长迅猛。"
2001,喷墨打印在报业的应用--《今日印刷》,喷墨打印 按需喷墨 色彩管理系统 连续喷墨 喷墨技术 印刷色彩 新闻纸 压电原理 直接加热 传送系统," 现今的喷墨打印系统具备了模拟报纸印刷色彩所需的各种要素—— 可以在新闻纸上做出玫瑰网纹,再借助先进的色彩管理系统就能准确匹配色彩。 连续喷墨和按需喷墨是两种主要喷墨技术,前者可不间断喷射墨流,后者则是高速按需喷墨。"
2003,你问我答--《数码印刷》,按需喷墨 电信号 工作原理 喷墨技术 信息转化 脉冲 陶瓷技术 计算机 喷墨头 实地密度," ?问:什么叫按需喷墨? 答:所谓按需喷墨(drop on demand),又叫脉冲给墨,其工作原理是将计算机里的图文信息转化成脉冲电信号,然后,由这些电信号来控制喷墨头的开闭,从而在有图像的地方喷上油墨。当前,最有代表性的按需喷墨技术要属压电陶瓷技术。目前,比较著名的制造按需喷墨头的公司有Aprion公司和Xaar公司。"
2017,陶瓷喷墨打印机理研究进展--《机械工程学报》,喷墨打印 陶瓷构件 液滴 咖啡环 数值模拟,"喷墨打印作为3D打印的一种工艺和方法,具有材料利用率高、加工柔性高、制造周期短等优点。近年来,喷墨打印技术已成为陶瓷构件成形的研究热点之一。要成功地打印陶瓷构件,必须满足一定的条件,比如打印墨水的流变学特性、稳定液滴的形成因素、打印液滴的定位精度、咖啡环的消除与抑制。综述了压电喷墨打印陶瓷构件机理的研究进展,主要包括陶瓷墨水特性以及压电脉冲参数对稳定液滴形成的影响,液滴的下落过程及其撞击基板的位置精度分析,干燥过程中咖啡环的产生和消除,液滴形成过程中的数值模拟,以及现阶段喷墨打印在陶瓷方面的应用实例;最后,对喷墨打印在陶瓷方面的应用做出了展望。"
2011,FUJIFILM压电按需喷墨技术5月亮相广州陶瓷工业展--《山东陶瓷》,喷墨技术 陶瓷工业 压电 按需喷墨 广州 打印头 喷墨印刷 制造商 瓷砖 公司,"[本刊讯]随着新的和多变的市场对瓷砖生产线需求的增长,迫使装饰瓷砖制造商寻求新的印刷系统,这种系统应当提供高图象质量、高生产力和多功能加工处理能力。喷墨印刷正是保证了在这几个方面提高生产力和降低成本,同时维"
2011,FUJIFILM DIMATIX 2011年国际陶瓷工业展全面展示领先数字瓷砖装饰技术--《陶瓷》,喷墨打印头 喷墨技术 供应商 工业应用 数字 瓷砖 印刷生产 装饰技术 工业产品 按需喷墨,"FUJIFILM Dimati公司是世界领先的工业应用按需喷墨打印头供应商,正在推动喷墨技术的进步,以支持新一代产品用于印刷生产,工业产品装饰和材料沉积应"
2004,直邮印品打印成本分析问与答--《数码印刷》,按需喷墨 喷墨打印头 喷墨打印机 压电式打印头 喷墨技术 打印质量 打印系统 平均故障间隔时间 墨水盒 印品,"随着社会经济的快速发展,给印刷,特别是给围绕直邮业务的印刷服务带来很多机会,由于直邮业务的一些特点,例如:收件人的姓名和地址每一封都是不同的,同时这种与促销、服务结合起来的直邮业务打印总量往往十分庞大,每一次直邮少则一两千份,多则数十万份。小产品中往往蕴涵着大市场,如何满足这个市场的需求,找到控制成本、增加利润的办法非常重要。"
2004,直邮印品打印成本分析问与答--《数码印刷》,按需喷墨 喷墨打印头 喷墨打印机 压电式打印头 喷墨技术 打印质量 平均故障间隔时间 打印系统 墨水盒 印品,"随着社会经济的快速发展,给印刷,特别是给围绕直邮业务的印刷服务带来很多机会,由于直邮业务的一些特点,例如:收件人的姓名和地址每一封都是不同的,同时这种与促销、服务结合起来的直邮业务打印总量往往十分庞大,每一次直邮少则一两千份,多则数十万份。小产品中往往蕴涵着大市场,如何满足这个市场的需求,找到控制成本、增加利润的办法非常重要。"
2008,喷墨印刷技术概述--《印刷世界》,喷墨技术 喷墨打印机 喷墨打印头 墨滴 连续喷墨 喷墨印刷 水射流 压电陶瓷材料 按需喷墨 喷嘴,"最早出现喷墨(Inkjet)这个概念是在上世纪60年代,到了70年代随着计算机技术的迅速发展,出现了连续喷墨和按需喷墨技术和系统,市场上可以看到商用的喷墨打印机。进入80年代后热气泡喷墨技术问世,随着广告市场的复兴,适应户外广告需求的彩色喷绘机等陆续出现在国际市场上。"
2009,喷墨印刷技术原理与发展趋势--《广东印刷》,喷墨技术 喷墨印刷 数字印刷 发展趋势 技术原理 可变数据印刷 油墨 承印物 连续喷墨 按需印刷,"一、概述近年来,随着电子出版、跨媒体出版技术的发展,传统印刷方式的市场受到极大冲击,数字印刷技术发展日新月异。数字印刷目前的市场定位主要是短版印刷、即时印刷、按需印刷和可变数据印刷。通俗地讲,数字印刷是能按照用户的时间要"
