2016,试论水性油墨在柔印中的应用--《科技经济导刊》,水性油墨 柔版印刷 工业,"随着现代工业的迅猛发展,印刷技术也得到了巨大进步,且在生产生活中的应用越来越广泛。印刷技术是文化宣传、艺术塑造的重要工具,我们必须要深刻分析和广泛应用各种印刷新技术。基于此,本文将介绍水性油墨的特点、发展、应用、以及注意事项,以期能促进水性油墨在柔印中的应用质量。"
2007,水性油墨发展综述--《化工科技市场》,水性油墨 发展历史 技术 经济 发展趋势,"文章参考中国油墨相关书籍及国外相关期刊杂志,从水性油墨发展的历史、技术发展概况、应用概况,经济概况、技术发展动态和发展趋势对水性油墨进行了综述,对中国的水性油墨的发展历史,现状,及存在的问题进行了简单的分析,使人们对水性油墨有所了解。"
2016,柔性版常见故障的处理--《科技经济导刊》,柔性版 印刷方式 故障处理,"随着人们对印刷质量的要求的不断提高,柔板印刷方式在整个印刷领域中的应用范围不断扩大。该印刷方式应用广泛、优势明显,但在实际工作中仍经常出现问题。鉴于此,本文将详细介绍柔性版印刷常见故障的处理方法,以期能提高柔板印刷的质量。"
2007,微胶囊电泳柔板显示器件及材料研究进展--《材料导报》,柔板显示器件 微胶囊 电泳显示 电子墨水 显示技术 柔性显示器件 制备方法 原位聚合法 制备工艺 界面聚合法,"微胶囊电泳柔板显示器是一种新近发展起来的电泳显示技术,有着广泛的用途。介绍了微胶囊电泳柔板显示器的显示原理、制备工艺、微胶囊的制备方法及器件衬底材料的研究现状,对各种制备方法及工艺进行了分析与综合评述,同时讨论了国内外柔板显示器及材料的应用研究现状、存在问题及发展前景。"
2004,第六届中国国际柔凹印展6月将在上海召开--《中国包装》,包装印刷 柔版印刷 柔性版印刷 凹印工艺 柔印技术 包装产品 凹印技术 博览中心 观众优势 瓦楞纸箱," “第六届中国国际柔印、凹印技术设备展”将于2004年6月16日至19日在浦东上海新国际博览中心隆重举行。 近年来世界上柔印发展很快,虽然这几年我国柔印取得很大发展,但在包装印刷总量上仅为70％左右的占有率。一些先进国家的包装产品采用柔板印刷已占包装产品总量的75％以上,距离之大,可见一斑。 随着我国进入WTO,国际包装订单会大幅度增加,对包装印刷品会有更高的要求,我国的柔性版包装印刷"
2009,柔板显示技术研究进展--《材料导报》,柔板显示 电子纸 电子墨水 电致发光显示器件 电致变色 光子墨水 显示技术 光子晶体 研究进展 显示原理,"作为下一代显示技术的代表,模拟普通纸张显示效果的柔板显示技术已经成为世界各国研究的焦点。目前,主要包括4种实现柔板显示的技术,分别为电子墨水显示技术(Electronic ink display technology,EID)、柔性电致发光显示技术(Flexible organic light emitting devices display technology,FOLED)、电致变色显示技术(Electro-chromic display technology,ECD)和光子墨水显示技术(Photonic ink display technology,PID)。每种技术都有各自的特点,在器件制备方面各自都发展到了不同的程度。主要评述了这4种显示技术的研究进展,并对其未来的发展进行了简要的市场分析。"
2012,耐高温丙烯酸酯压敏胶带在挠性电路板行业的应用--《印制电路信息》,压敏胶带 耐高温 柔性电路板 回流焊,"双面压敏胶带在柔性电路板组装行业有着广泛的应用。本文综述了柔板行业对压敏胶带的性能要求,介绍了3M公司新型的耐高温丙烯酸酯压敏胶带,特别适用于要求在柔性电路板回流焊工艺前的表面粘贴应用。"
2017,基于机器视觉的FPC智能对位系统的研究--《光电子·激光》,柔性电路板(FPC) 机器视觉 阈值分割 椭圆拟合,"针对传统对位装置对位精度低、速度慢的缺点,设计并开发了基于机器视觉的柔性印刷电路(FPC)智能对位装置。装置利用高分辨率工业CCD相机采集图像,配合机械和电气系统,控制运动控制卡完成FPC智能抓取、采集、处理和对位。在关键的定位算法中,通过改进的一维Otsu阈值分割方法对FPC图像进行阈值分割,利用提出的三椭圆平均拟合法提取定位圆圆心坐标,采用累计概率Hough直线变换测量旋转的角度;进而将计算的相对于标准位置的偏移量传送至运动控制卡,利用闭环反馈控制伺服系统进行纠偏。在开发的样机上进行大量的在线实验结果表明,本文装置稳定性强,对位精度高,对位误差不超过±0.06mm,角度误差不超过0.001 6rad。"
2014,全自动贴敷PSA设备的研制--《电子工业专用设备》,柔性电路板 贴敷PSA胶片 自动化设备,"针对当前柔性电路板贴敷PSA(压敏胶)胶片工序自动化程度低的情况,研发了可以完成贴敷PSA工序的全自动化设备,并能够满足柔版生产线速率、适应多种规格的PSA胶片。对该设备的工艺流程、结构特点及达到的技术指标进行了论述。设备的研制极大地提高了生产效率和贴敷精度。"
2014,PSA贴敷机的精度分析与优化设计--《机械科学研究总院》,PSA 贴敷工艺 误差模型 动态特性 优化算法 运动控制器,柔性印刷电路板具有轻薄柔并易于大规模生产的特点在手机平板电脑等电子产品中得到了广泛应用柔板的自动化生产是提高产量和良品率的重要手段在柔板生产中关键设备如贴片机的自动化程度已很高但PSA贴敷还是以人工作业为主精度差效率低是典型的劳动力密集型生产为此我们研制了一种高精度高速度的PSA贴敷机节省了人力填补了市场空白本文以PSA贴敷机为研究对象针对PSA贴敷生产中高精度高速度的要求分析了PSA贴敷机由结构设计和运动控制引入的各误差项在仿真计算的基础上结合实际测量数据提出了优化设计方案并成功地应用到PSA产品中在分析贴装头的速度曲线时发现速度波动很大这是导致设备精度下降定位时间长的主要因素经过仿真计算发现使用基于全闭环S型曲线速度控制的方法可以满足设备的精度要求通过搭建嵌入式控制平台实现了该算法实测数据表明该算法可以解决设备精度下降和定位时间长的问题为PSA的产品化提供了指导意见在测试嵌入式控制平台时探索了相关的硬件组成和软件架构为将来的推广应用打下了良好的基础全文取得了如下研究成果1建立了PSA贴敷机的几何误差数学模型分析了影响贴敷精度的关键误差元素指出了设计和装配中需要注意的关键环节2对PSA贴敷机进行了模态计算和瞬态动力学仿真分析了影响PSA贴敷机动态特性的各项因素提出了优化设计方案并进行了验证3针对伺服电机高频次短距离定位中的振荡问题设计了全闭环S型曲线速度控制方法并进行了仿真验证为从控制上优化贴敷精度提供了理论基础4为优化设备控制系统和实现速度控制算法设计了以ARMDSP为核心的嵌入式控制平台优化了速度和位置控制曲线并通过该实验台验证了系统的可实施性
