UV油墨 分散性 固化速度 附着力,"UV技术在诸多领域有着广泛应用,UV油墨具有固化速度快、印刷质量高、无VOC排放等优点,作为一种环保型油墨,在各种印刷方式中的应用越来越受到重视。本文阐述了UV油墨体系的主要成分——预聚物、单体等的结构特点及UV固化机理;结合UV油墨技术发展趋势,探讨了UV喷墨油墨分散性及其评价方法、流变学特征;根据实验研究结果,从反应动力学的角度论述了UV油墨的固化速度及氧对聚合反应的影响规律;考察了UV胶印油墨的转移率及其在低能表面承印材料的附着力。"
丝网印刷 普通油墨 工业文明 农业文明 印刷工业 信息化 低碳化 印刷油墨 大豆油 固体污染物,"在人类发展进程中,世界文明先后经历了农业文明、工业文明和信息化三次浪潮,每次浪潮都有不同的显著内涵和特点。例如,农业文明的浪潮实现人类农耕文明的兴起,带动农业的辉煌发展;工业文明的浪潮使农业文明向工业文明转变,带来工业化的飞速发展;信息化的浪潮引领着信息化改革,使全球进入知识经济时代。"
塑料食品包装材料 食品安全 迁移 加工助剂 油墨 树脂,"食品包装材料中有毒有害化学物质的迁移是引起食品污染的重要途径之一。本文主要根据近年来发表的有关食品包装材料领域的相关文献为基础,针对塑料食品包装材料中的加工助剂、油墨和树脂自身中的有毒有害物质等迁移物产生的危害进行了分析,为塑料食品包装材料的质量控制提供参考。"
组织惯性 组织变革 系统动力学 惯例 认知 行为决策,本文以组织惯性对组织变革的影响为研究对象在文献综述和探索性研究的基础上以演化经济学认知心理学为理论基础综合运用企业管理理论企业能力理论经济学战略管理等学科领域的理论和前沿观点以系统动力学为分析工具研究探讨组织惯性对组织变革的影响机理构建了基于组织惯性的企业组织变革系统动力学模型主要做了以下工作1组织惯性的定义特征成因及变动分析在评述国内外文献关于组织惯性概念的基础上指出组织惯性是组织运行表现出的一种属性面对环境变动或未遇到外部力量作用通过组织内重复的可识别的行为模式使组织保持自身发展运动状态的行为或倾向具有客观存在但其大小随时间变化具有累积性稳定性易变性路径依赖性知识性等特征分析了认知组织学习决策与组织惯性形成的原因和过程得出企业组织惯性的形成认知组织学习企业决策共同作用的结果结论以组织惯性构成内容行为执行者组织情境惯例为基础分析了执行人的变化知识变化和组织情景变化及其影响因素对组织惯性变动的影响2基于组织变革动力的组织惯性形成组织变革的传导机制和组织惯性对组织变革的影响机制在分析现有组织变革模型的基础上结合组织学习和企业能力构建了组织变革路径模型和组织变革动力传导过程与机制模型在分析组织惯性对企业组织发展作用形式的基础上从企业与环境的相互作用中动态地研究组织惯性对组织变革的影响研究了组织惯性在组织变革中的作用和传递路径构建了与环境变化相匹配的组织能力框架组织惯性对组织变革影响机制模型3企业组织变革系统分析利用系统动力学思想和分析方法分析了组织变革系统的问题描述体统边界划分和企业组织变革系统的基本结构组织惯性与企业组织变革系统动力学模型及其仿真分析4实证分析在案例的基础上采用历史分析叙事分析和问卷调查等方法对本文提出的理论和模型并对模型及相关结论进行分析和讨论提出案例分析结果对理论和实践的启示作用
环保 大豆油 平版胶印 油墨,传统油墨是由颜料包括有色颜料和填充料连结料矿物油助剂等物质组成其中连接料占整个油墨组成的80以上传统连接料的生产制造过程中用到了大量石油系矿物油如苯环芳烃等使油墨中包含大量有毒性挥发物VOCVolatileOrganicChemical无论对生产工人的健康产品使用者的健康自然环境等都将带来严重隐患所谓大豆油油墨是指用大豆油置换油墨中部分石油系矿物油的环保油墨其颜料与树脂成份和普通油墨一样由于大豆油大量的替代了具有挥发型的石油系溶剂而本身又为绿色的天然植物油所以对造成大气污染因素的挥发性有机化合物VOC具有抑制作用同时其化学诱导物为非毒性而极有利印刷业环境与健康安全中的自然降解问题开发环保油墨重点是解决油墨中含VOC物质的替换问题而传统油墨中大部分含VOC的物质又都包含在连接料的生产过程中所以研制新型油墨连接料是解决开发环保油墨的根本大豆油墨是将传统油墨配方中2050的矿物油替代为自然环保的大豆油从而使油墨中的VOC含量由原来的3555降低到515达到环保要求通过一定方法改变大豆油各种理化性质使其与连接料相似或接近从而达到替代目的用替代后的连接料生产出的油墨产品首先在基本墨性指标上需达到传统油墨要求另外需要在环保指标VOC和重金属含量上大幅降低本课题第一阶段深入研究了大豆油的热聚合反应确定了最佳工艺参数加热温度为332加热时间为106min压力为6MPa催化剂添加量为5同时得出因子贡献率为催化剂添加量压力加热温度加热时间本课题第二阶段重点研究油墨配方的筛选和优化最终油墨配方为改性大豆油45松香改性酚醛树脂20溶纤剂39炭黑颜料2275石蜡45其它助剂375总计为999实验误差允许范围内确定最优配方后制得产品对产品进行9项传统油墨质量性能指标测试和两项特色环保指标检测质量性能指标测试结果基本合格环保指标检测结果为环保油墨VOC含量低于100mgg而普通油墨VOC含量仅低于500mgg环保油墨比普通油墨VOC含量降低了40左右本产品铅贡砷铬镉锑硒钡八大重金属平均含量约为65mgkg而普通油墨产品铅贡砷铬镉锑硒钡八大重金属平均含量约为175mgkg本产品重金属含量明显降低
可食性油墨 黄原胶 粘度 大豆油 流变性能,可食性油墨是一种新型环保油墨它可直接印刷于食品药品等可食性基材表面无毒可食本文通过大量的资料查阅与分析确定可食性油墨的基本组成成分对可食性油墨的组成材料进行合理的选择通过大量的实验研制出可食性油墨并对该油墨的流变学及其他相关性能进行研究与分析研究结果表明以水色素黄原胶蔗糖大豆油为原料的可食性油墨体系性能稳定具有较好的粘度长时间存放油墨不分层该体系油墨黄原胶含量控制在体系总重的00505之间当黄原胶含量低于油墨总重的005时油墨不能很好的乳化当黄原胶含量高于油墨总重的05时油墨成为胶状体没有了流动性制备的油墨呈现非牛顿流体的特性其粘度随着剪切力增加而减小对制备油墨的触变性研究显示油墨呈现出很好的触变性触变环随着作用力时间和剪切速率的增加而改变另外该体系油墨具有较好的显色性对pH值变化十分稳定且当大豆油含量为油墨质量总重的33左右时蔗糖含量为28左右时成功实现了油墨在食品表面的印刷
印刷 职业危害 防护措施,"随着我国印刷行业产业结构的调整和生产工艺的革新,印刷技术发生了巨大变化,从铅与火的时代走进了光与电的时代,印刷过程的工艺流程、物料使用和产品结构都发生了巨大变化,随之印刷作业中潜在的职业危害因素也发生了一定变化。本文分析了现阶段影响印刷作业人员健康的尘毒职业危害因素,指出了尘毒职业危害的分布情况,并且针对不同类型企业,提出了适宜的防治措施,以期达到在实际中能切实降低或消除印刷行业尘毒职业危害的目的。"
纸质包装 绿色设计 减量化 绿色标识 低碳经济,近几年在包装界掀起了绿色包装设计的风潮绿色包装以不污染环境保持人体健康为根本充分挖掘可再生可循环使用的包装材料以节约自然资源和降低能源消耗为发展宗旨以实现地球生态环境的可持续发展为最终目的我国正处于工业化加速发展的重要阶段作为配套行业的纸包装工业也在大踏步的前进在我国食品包装中运用纸质材料占整个食品包装用料的13在纸质食品包装的绿色设计推广实践中包装设计师作为食品与生厂商市场的衔接者起到至关重要的桥梁作用在设计之初就应考虑到包装造型结构材料的环保印刷生产便于流通等各个环节的协调融合注重食品包装的环保性和对人体健康的保证等这些关键性专业问题是本文研究的主要内容其中对食品包装设计中的减量化理念的深入探讨以及绿色食品包装必有的标识是本文研究的重点倡导设计者能够真正深入涉及绿色包装的各个关键环节多层面多角度将各个设计要素进行宏观控制有机整合将食品的绿色包装设计理念和包装的功能性完美的融入到整个包装工业化生产之中使设计更具时效性可操控性和实施性避免口号理念大于实际操作的现象最终为实现节能减排低碳经济的发展为构建和谐社会节约型社会提供可行的可量化的可持续发展的设计模式
烟标 成本控制 质量成本,随着烟草市场的高度集中与之相关的烟标印刷业竞争越来越激烈对于以烟标印刷为主营业务的JCP公司来说企业成本成为影响企业利润高低竞争力大小生存发展潜力高低的重要因素然而由于历史原因JCP公司一向对成本控制重视不够在公司进入一个较高的发展阶段后正面临着日益严重的外部压力和愈来愈激烈的竞争为此公司需要不断加强成本控制利用科学合适的成本控制方法来增强自身实力才能不断提高公司的经济效益和竞争能力本文首先结合成本控制基本理论的有关内容简述相关的成本控制方法如作业成本法质量成本法标准成本法预算法等控制方法然后对公司整体的成本控制现状进行了分析同时挖掘出成本控制过程中存在的主要问题最后提出了解决JCP公司成本控制问题的具体方案即在产品研发阶段进行产前成本控制利用工艺改良技术改造等相关措施进行成本控制事先预防在生产过程中进行产中成本控制结合物流环节的分析在采购管理仓储管理信息化方面提出方案在产后成本控制中利用标准成本法作业成本法质量成本预算等方法对产成品期间费用的成本控制提出相关对策在成本控制方法的实施中本文从公司所属烟标行业的特性出发选择适合本公司实施的成本控制方法体系以实事求是理论联系实际的思想来分析和解决对应的成本控制问题对其它同类企业及类似企业的成本控制具有一定的借鉴价值
纸质出版 绿色印刷 中国出版业 环保意识 出版产业 传统出版业 再生纸 数字化时代 出版理念 电子阅读器,"在全球已达成发展低碳经济共识之际,我国政府在哥本哈根会议上正式宣布,到2020年,单位国内生产总值二氧化碳排放将比2005年下降40%～45%。而出版业作为一个资源和能源消耗密集型产业,其经济发展模式必然面临由""高碳""向""低碳""的转型。同时,塑造绿色的出版产业也是提升我国公民环保意识、实现环境教育的重要途径。事实上,我国低碳出版的概念早已经开始践行:从最初号召全民读旧书、借书读、换书读等一系列""环保阅读""活动开始,至2008年,弘文馆出版的少儿环保读物《阿米》,就直接以""中国第一本由100%再生纸印刷的环保图书""为宣传卖点;张抗抗、杨红樱、李银河、冯永峰等作者签署了《作家爱森林宣言》,成为支持绿色出版的成员。2010年,""环保""成为与""孔子、上海、中国当代艺术""并列的年度英语出版界四大中国主题。然而,中国出版业开始步入绿色出版时代的道路仍然不清晰,绿色出版的概念并未普及,在""绿色""转型的面前,尚有不少问题和困惑。为此,我刊特邀已践行在绿色出版一线的出版发行集团、民营书业代表、媒介观察员与相关学者,同我们共同探讨绿色出版可能面临的问题以及我们应如何顺应潮流,切实有所作为。"
